pack_v_max,pack_v_ptp,pack_v_kurtosis,pack_v_skew,pack_v_meandiff,pack_p_ptp,pack_p_kurtosis,pack_p_skew,pack_p_meandiff,dqdv_peak_05,dqdv_05_ptp,dqdv_peak_10,dqdv_10_ptp,window_range,window_range_idx,window_median,order_id,rated_energy,rated_voltage,rated_capacity,soh
109.623,2.294200000000004,-0.9371304226247936,-0.4400869159064939,0.0290405063291139,114.72419999999966,-0.9470863038108072,-0.434206615636662,1.452205063291135,0.3889474444444444,0.3333884444444445,0.6389715555555556,0.5000654444444446,energy_0_10,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
116.3814,6.510400000000004,-1.037639589295796,-0.3485608041380901,0.012330303030303,455.7440999999999,-1.038408494554642,-0.3484188257867632,0.8604206439393938,1.341709416666667,0.9333563333333336,2.411174833333333,1.8278361666666665,energy_0_10,1.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
119.4196,1.3641000000000076,-1.121814587064594,0.4178844738030501,0.0013219289340101,109.1330999999991,-1.1225992461100738,0.4180920417855787,0.105759289340101,12.156141861111111,9.64491461111111,18.689803194444444,15.489653472222225,energy_10_20,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.7217,1.3640999999999934,-1.081866177416806,-0.1224348929572913,0.0013368583162217,109.88190000000031,-1.0818986375966293,-0.1218640338034401,0.1069535934291584,9.844899750000002,5.400241138888891,16.511842027777778,11.378266111111111,energy_20_30,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.2797,0.6200000000000045,,,0.0005776397515528,52.60100000000057,-0.9914347281844078,-0.4540904167897284,0.0477689440993789,15.467449166666666,9.467163055555556,21.467735277777784,0.0,energy_30_40,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.4037,0.1239999999999952,,,0.0001286307053941,12.928400000000693,-0.478445588598551,0.1638759160672913,0.0102909751037346,21.423240555555555,0.0,21.423240555555555,0.0,energy_40_50,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.5277,0.1859999999999928,,,0.0001931464174454,17.89089999999851,-0.1700057257231821,0.4170384259745738,0.0146706126687437,21.40102419444445,0.0,21.40102419444445,0.0,energy_50_60,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.7137,0.2480000000000046,,,0.0001933471933472,22.10149999999885,-0.8948754850366512,0.3479082091016117,0.0139032224532231,21.378807833333333,0.0,21.378807833333333,0.0,energy_60_70,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
109.623,2.294200000000004,-0.9371304226247936,-0.4400869159064939,0.0290405063291139,114.72419999999966,-0.9470863038108072,-0.434206615636662,1.452205063291135,0.3889474444444444,0.3333884444444445,0.6389715555555556,0.5000654444444446,time_0_10,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
116.3194,2.914200000000008,-1.125490999260252,-0.1916827330564892,0.0095391304347826,205.40639999999985,-1.127489969763381,-0.192069214639165,0.6725892976588621,1.4000379444444442,1.011140333333333,2.197269694444444,0.5444518333333324,time_10_20,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.1795,0.2480000000000046,-0.295421427061262,-0.0572930677472456,0.0006220735785953,21.305200000000696,-0.3121027737807509,,0.047321404682276,6.644786194444444,0.0,6.644786194444444,0.0,time_30_40,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.4275,0.309999999999988,-0.849436579078382,0.1888746420371404,0.0006220735785952,27.000299999999697,-0.8480250167510417,0.1634326734704906,0.0497682274247542,6.644772416666667,0.0,6.644772416666667,0.0,time_40_50,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
118.8616,0.4960999999999984,-1.1764620778104844,0.1440307467671039,0.0014518394648829,41.160399999998845,-1.186175721973268,0.1476080703719479,0.1136956521739157,6.644751749999999,0.0,6.644751749999999,0.0,time_50_60,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
119.4196,0.5580000000000069,-1.1550595648164683,0.0307629386777663,0.0018662207357859,45.3828999999987,-1.1512331729755214,0.0308379145170784,0.1517822742474872,6.155866083333333,5.666958027777778,6.644774138888889,0.0,time_60_70,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
119.9156,0.5579999999999927,-1.0891347106496418,-0.095004994108382,0.0016588628762541,44.64199999999983,-1.0899226052691793,-0.0883182031413639,0.132715050167225,6.644727638888888,0.0,6.644727638888888,0.0,time_70_80,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.2876,0.4339999999999975,-0.9683747449154176,-0.0482602867479169,0.0012441471571906,35.464099999999235,-0.9564468252388254,-0.0650000436527973,0.094548494983279,6.644748305555556,0.0,6.644748305555556,0.0,time_80_90,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.6597,0.4960999999999984,-0.925566841292088,-0.0878751214360389,0.0012444816053511,40.4343000000008,-0.9242543955066592,-0.0855516216971205,0.1045484949832783,6.6447551944444445,0.0,6.6447551944444445,0.0,time_90_100,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
120.9697,0.3719999999999999,-0.9274749291064176,-0.1398701397761194,0.0010367892976588,31.25669999999991,-0.9012275253020584,-0.148778863777202,0.0829468227424768,6.644753472222222,0.0,6.644753472222222,0.0,time_100_110,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.1557,0.3100000000000023,-0.9151575485732342,,0.000829431438127,26.302299999999377,-0.9552025249490672,-0.0384717296039769,0.0663575250836095,6.644787916666666,0.0,6.644787916666666,0.0,time_110_120,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.2797,0.186000000000007,-0.1862014283265356,-0.1674115298340172,0.0002073578595317,17.133600000001024,-0.094467974243269,-0.1812304556151316,0.0140759197324388,6.644768972222222,0.0,6.644768972222222,0.0,time_120_130,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.2797,0.0620000000000118,,,0.0002073578595318,7.965799999999945,5.159741791725757,-2.363809832516917,0.0115602006688971,6.644756916666666,0.0,6.644756916666666,0.0,time_130_140,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.3417,0.0619999999999976,,,0.0002073578595317,7.967399999999543,-1.7199569995370276,0.2329276460579802,0.0115635451505031,6.644781027777778,0.0,6.644781027777778,0.0,time_140_150,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
121.4657,0.1239999999999952,-1.7870483398898886,0.1303220848276512,0.0002073578595317,11.42489999999998,-1.6049145660849544,0.1440507176716134,0.0165896321070194,6.644793083333333,0.0,6.644793083333333,0.0,time_160_170,0.0,0,01 0593-271Ah - toXY.xlsx,26.016,96.0,271,0.7359
