pack_v_max,pack_v_ptp,pack_v_kurtosis,pack_v_skew,pack_v_meandiff,pack_p_ptp,pack_p_kurtosis,pack_p_skew,pack_p_meandiff,dqdv_peak_05,dqdv_05_ptp,dqdv_peak_10,dqdv_10_ptp,window_range,window_range_idx,window_median,order_id,rated_energy,rated_voltage,rated_capacity,y_t
114.8313,10.9127,-0.6785868046683516,-0.5408872586495632,0.013769923857868,547.7709999999997,-0.6783575300071942,-0.5411705497925386,0.6903020304568523,1.2364056111111117,1.180836277777778,2.0838224444444453,1.8754305555555564,energy_0_10,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
119.0476,1.4261000000000053,-0.9239018133635728,0.4047338941428785,0.0012061007957559,99.8304999999982,-0.9274377899384492,0.405016708624442,0.0844300618921297,9.56701522222222,6.533592499999999,18.336772861111108,14.681109138888884,energy_10_20,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
119.7296,0.8680000000000092,-1.1007131634232523,-0.1771183911559274,0.0010877192982455,62.97849999999926,-1.0882435443310858,-0.1797122373046324,0.0790185185185188,7.097429194444443,4.219555527777777,9.975302861111109,0.0,energy_20_30,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
121.3417,0.7439999999999998,,,0.0004774477447744,65.49349999999868,-0.9054104772424258,-0.3457800633202037,0.0414114411441144,14.47385272222222,7.484916444444444,21.462789,0.0,energy_30_40,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
121.4037,0.3100000000000023,,,0.0002048458149779,28.606700000000277,-0.60424556996833,-0.2476697261550705,0.019069052863435,21.439117000000003,0.0,21.439117000000003,0.0,energy_40_50,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
121.5277,0.3100000000000023,,,-6.835722160969969e-05,29.359999999998763,-0.537792239865142,-0.2145340201296054,-0.0058103638368251,21.415569194444444,0.0,21.415569194444444,0.0,energy_50_60,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
121.7137,0.4339999999999975,,,0.00041059602649,36.89049999999952,-0.5150708748050374,-0.152093840675789,0.0349011037527591,21.39197388888889,0.0,21.39197388888889,0.0,energy_60_70,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
121.8377,0.3719999999999999,,,0.0001425287356321,32.37720000000081,-0.5139545609907428,-0.3870710237132646,0.0121151724137924,10.270999611111112,0.0,10.270999611111112,0.0,energy_70_80,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
110.305,6.386400000000009,-0.7239953069558287,-0.5059748288570476,0.0213591973244147,321.3717999999999,-0.721504141665883,-0.5054127856749807,1.0725337792642118,0.7779810000000001,0.7224116666666668,1.0696976111111116,0.8613057222222227,time_0_10,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
113.4052,3.1621999999999986,-1.114157012534675,-0.143775573640607,0.0101612040133778,159.5556999999999,-1.1125290620379409,-0.1401536094445006,0.5081862876254202,0.8613418888888887,0.6807363888888887,1.667081722222223,0.6251446666666671,time_10_20,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
114.8313,1.5501000000000005,-1.0428510506519206,-0.0530313663015568,0.0075856382978723,79.64099999999962,-1.036524627178243,-0.0536971370762904,0.3793760638297857,1.236400444444445,0.5695684444444449,1.5975993888888895,0.5834693888888893,time_20_30,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
117.7455,1.67410000000001,-1.007216486581534,-0.4671382255200712,0.0051842809364548,117.91020000000115,-1.0068046641162771,-0.4669619282841528,0.3629123745819429,2.9556318333333325,1.711151555555555,2.9945221111111104,0.1749890277777774,time_30_40,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
117.9315,0.4339999999999975,-0.5342981857431122,-0.2423206233045857,0.0006220735785952,30.380999999999403,-0.5776951000324395,-0.2524419181010839,0.0435464882943124,5.814098249999999,0.0,5.814098249999999,0.0,time_40_50,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
118.1175,0.4340000000000117,-0.4703797209501359,-0.2644648407800388,0.0006220735785953,31.84380000000056,-0.4830460089182788,-0.2670489840031655,0.0435468227424767,5.814112027777776,0.0,5.814112027777776,0.0,time_50_60,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
118.4275,0.5579999999999927,-0.583297743370002,-0.1260518639716547,0.0010367892976588,40.52189999999973,-0.5527248354444834,-0.1192903070822987,0.0725779264214003,5.814058638888888,0.0,5.814058638888888,0.0,time_60_70,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
118.7996,0.6200999999999937,-0.7885179037935521,,0.0006220735785953,41.941499999999,-0.7925841005264473,-1.2370133236207916e-06,0.0435464882943185,5.814117194444443,0.0,5.814117194444443,0.0,time_70_80,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
119.2956,0.6200999999999937,-0.9487920802965416,-0.0288893419914858,0.0018665551839464,44.14380000000165,-0.9503786741490092,-0.0211144935792328,0.130663545150502,4.8223513888888885,3.8306493055555553,5.814053472222222,0.0,time_80_90,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
119.6676,0.5579999999999927,-0.6611619455488094,-0.3433355947964072,0.0014515050167223,40.54690000000119,-0.6753998581089293,-0.3231259564621038,0.101608695652178,5.814074138888888,0.0,5.814074138888888,0.0,time_90_100,0.0,0,03 0215-271Ah - toXY.xlsx,26.016,96.0,271,0.7343000000000001
